




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20589)	upload_1 (355)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
positive regulation of chromosome separation (GO:1905820)	28	6	.48	+	12.43	2.05E-05	8.03E-03
hypothalamus development (GO:0021854)	25	5	.43	+	11.60	1.37E-04	3.90E-02
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	46	7	.79	+	8.83	2.99E-05	1.14E-02
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	91	11	1.57	+	7.01	1.28E-06	7.71E-04
ATP synthesis coupled electron transport (GO:0042773)	91	11	1.57	+	7.01	1.28E-06	7.43E-04
aerobic electron transport chain (GO:0019646)	86	9	1.48	+	6.07	3.40E-05	1.27E-02
respiratory electron transport chain (GO:0022904)	113	11	1.95	+	5.65	8.72E-06	4.27E-03
cytoplasmic translation (GO:0002181)	124	12	2.14	+	5.61	3.61E-06	1.95E-03
oxidative phosphorylation (GO:0006119)	119	11	2.05	+	5.36	1.37E-05	5.96E-03
positive regulation of chromosome organization (GO:2001252)	106	9	1.83	+	4.92	1.52E-04	4.17E-02
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	127	10	2.19	+	4.57	1.18E-04	3.48E-02
ribosome biogenesis (GO:0042254)	303	22	5.22	+	4.21	4.27E-08	3.72E-05
aerobic respiration (GO:0009060)	159	11	2.74	+	4.01	1.59E-04	4.24E-02
rRNA processing (GO:0006364)	223	15	3.85	+	3.90	1.46E-05	6.18E-03
regulation of mRNA catabolic process (GO:0061013)	181	12	3.12	+	3.85	1.18E-04	3.44E-02
mRNA splicing, via spliceosome (GO:0000398)	243	15	4.19	+	3.58	3.74E-05	1.36E-02
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	243	15	4.19	+	3.58	3.74E-05	1.33E-02
RNA splicing, via transesterification reactions (GO:0000375)	247	15	4.26	+	3.52	4.46E-05	1.55E-02
RNA splicing (GO:0008380)	368	22	6.35	+	3.47	9.81E-07	6.16E-04
rRNA metabolic process (GO:0016072)	254	15	4.38	+	3.43	6.02E-05	1.93E-02
ribonucleoprotein complex biogenesis (GO:0022613)	449	26	7.74	+	3.36	1.79E-07	1.28E-04
ncRNA processing (GO:0034470)	413	22	7.12	+	3.09	5.78E-06	2.92E-03
mRNA processing (GO:0006397)	451	24	7.78	+	3.09	2.20E-06	1.23E-03
translation (GO:0006412)	379	20	6.53	+	3.06	1.75E-05	7.04E-03
RNA processing (GO:0006396)	868	45	14.97	+	3.01	1.35E-10	1.51E-07
peptide biosynthetic process (GO:0043043)	408	21	7.03	+	2.99	1.54E-05	6.36E-03
peptide metabolic process (GO:0006518)	537	25	9.26	+	2.70	1.25E-05	5.59E-03
mRNA metabolic process (GO:0016071)	607	28	10.47	+	2.68	4.40E-06	2.30E-03
chromosome organization (GO:0051276)	444	20	7.66	+	2.61	1.42E-04	3.96E-02
