'Jeotgalibacillus soli'
'Nostoc azollae'
'Osedax' symbiont
5'-monophosphate Z:P
5'-monophosphate wt
65-MER from
67-MER from
A-riboswitch from
A24U mutant
A24U/U25A/A46G mutant
A24U/U25A/A46G/C74U mutant
Abiotrophia defectiva
Absidia glauca
Absidia repens
Acaryochloris marina
Acetivibrio cellulolyticus
Acetivibrio ethanolgignens
Acetoanaerobium sticklandii
Acetobacter aceti
Acetobacter indonesiensis
Acetobacter orientalis
Acetobacter orleanensis
Acetobacter pasteurianus
Acetobacter persici
Acetobacter syzygii
Acetobacter tropicalis
Acetobacteraceae bacterium
Acetobacterium bakii
Acetobacterium wieringae
Acetobacterium woodii
Acetohalobium arabaticum
Acetomicrobium hydrogeniformans
Acetomicrobium mobile
Acetonema longum
Acetothermia bacterium
Acholeplasma brassicae
Acholeplasma laidlawii
Acholeplasma oculi
Acholeplasma palmae
Acholeplasma sp.
Achromatium sp.
Achromobacter piechaudii
Achromobacter sp.
Achromobacter xylosoxidans
Acidaminococcus fermentans
Acidaminococcus intestini
Acidaminococcus sp.
Acidianus manzaensis
Acidibacillus ferrooxidans
Acidiferrobacter thiooxydans
Acidimangrovimonas sediminis
Acidimicrobiia bacterium
Acidimicrobium ferrooxidans
Acidimicrobium sp.
Acidiphilium cryptum
Acidiphilium rubrum
Acidiphilium sp.
Acidipropionibacterium acidipropionici
Acidisphaera rubrifaciens
Acidithiobacillales bacterium
Acidithiobacillus caldus
Acidithiobacillus ferrivorans
Acidithiobacillus ferrooxidans
Acidithiobacillus sp.
Acidithiobacillus thiooxidans
Acidithrix ferrooxidans
Acidobacteria bacterium
Acidobacteriaceae bacterium
Acidobacteriales bacterium
Acidobacterium capsulatum
Acidobacterium sp.
Acidocella aminolytica
Acidocella sp.
Acidomonas methanolica
Acidomyces richmondensis
Acidothermus cellulolyticus
Acidovorax avenae
Acidovorax citrulli
Acidovorax delafieldii
Acidovorax ebreus
Acidovorax sp.
Acidovorax temperans
Aciduliprofundum boonei
Acinetobacter baumannii
Acinetobacter baylyi
Acinetobacter bohemicus
Acinetobacter bouvetii
Acinetobacter brisouii
Acinetobacter calcoaceticus
Acinetobacter celticus
Acinetobacter equi
Acinetobacter gerneri
Acinetobacter guillouiae
Acinetobacter haemolyticus
Acinetobacter johnsonii
Acinetobacter larvae
Acinetobacter lwoffii
Acinetobacter nectaris
Acinetobacter populi
Acinetobacter pragensis
Acinetobacter proteolyticus
Acinetobacter qingfengensis
Acinetobacter radioresistens
Acinetobacter schindleri
Acinetobacter sp.
Acinetobacter tandoii
Acinetobacter towneri
Acremonium chrysogenum
Actibacterium atlanticum
Actibacterium lipolyticum
Actibacterium mucosum
Actibacterium pelagium
Actibacterium ureilyticum
Actinoalloteichus hoggarensis
Actinoalloteichus hymeniacidonis
Actinoalloteichus sp.
Actinobacillus minor
Actinobacillus muris
Actinobacillus pleuropneumoniae
Actinobacillus succinogenes
Actinobacteria bacterium
Actinobaculum massiliense
Actinobaculum schaalii
Actinobaculum sp.
Actinobaculum suis
Actinokineospora bangkokensis
Actinokineospora sp.
Actinomadura madurae
Actinomadura sp.
Actinomyces cardiffensis
Actinomyces coleocanis
Actinomyces denticolens
Actinomyces glycerinitolerans
Actinomyces graevenitzii
Actinomyces hordeovulneris
Actinomyces johnsonii
Actinomyces liubingyangii
Actinomyces marimammalium
Actinomyces massiliensis
Actinomyces nasicola
Actinomyces neuii
Actinomyces odontolyticus
Actinomyces radicidentis
Actinomyces sp.
Actinomyces turicensis
Actinomyces urogenitalis
Actinomycetales bacterium
Actinophytocola sp.
Actinophytocola xanthii
Actinoplanes awajinensis
Actinoplanes derwentensis
Actinoplanes friuliensis
Actinoplanes globisporus
Actinoplanes missouriensis
Actinoplanes regularis
Actinoplanes sp.
Actinoplanes utahensis
Actinopolymorpha singaporensis
Actinopolyspora sp.
Actinospica robiniae
Actinosynnema mirum
Actinotalea fermentans
Acyrthosiphon pisum
Adenosine RIboswitch
Adenosylcobalamin riboswitch
Adlercreutzia equolifaciens
Advenella kashmirensis
Advenella mimigardefordensis
Aedes aegypti
Aequorivita sp.
Aequorivita sublithincola
Aeribacillus pallidus
Aerococcus christensenii
Aerococcus sanguinicola
Aerococcus urinae
Aerococcus urinaehominis
Aerococcus viridans
Aeromicrobium choanae
Aeromicrobium marinum
Aeromicrobium sp.
Aeromonas diversa
Aeromonas hydrophila
Aeromonas molluscorum
Aeromonas salmonicida
Aeromonas schubertii
Aeromonas sp.
Aeromonas veronii
Aestuariibacter aggregatus
Aestuariivita atlantica
Aestuariivita boseongensis
Afipia broomeae
Afipia felis
Afipia sp.
Agaricus bisporus
Agarivorans albus
Aggregatibacter actinomycetemcomitans
Agreia bicolorata
Agreia sp.
Agrobacterium albertimagni
Agrobacterium deltaense
Agrobacterium fabrum
Agrobacterium genomosp.
Agrobacterium radiobacter
Agrobacterium salinitolerans
Agrobacterium sp.
Agrobacterium tumefaciens
