#ccds	gene	gene_id	ccds_status	attribute
CCDS12.1	SDF4	51150	Under review, update	CDS uses downstream AUG
CCDS44.2	PRXL2B	127281	Reviewed, update pending	CDS uses downstream AUG
CCDS54.1	AJAP1	55966	Public	Nonsense-mediated decay (NMD) candidate
CCDS117.2	CORT	1325	Public	CDS uses downstream AUG
CCDS192.2	AKR7L	246181	Public	Polymorphic pseudogene
CCDS200.1	PLA2G2E	30814	Public	CDS uses downstream AUG
CCDS225.1	EPHA8	2046	Public	Inferred exon combination
CCDS323.1	RCC1	1104	Public	CDS uses downstream AUG
CCDS369.2	FNDC5	252995	Public	CDS uses downstream AUG
CCDS369.2	FNDC5	252995	Public	Non-AUG initiation codon
CCDS380.1	CSMD2	114784	Public	Nonsense-mediated decay (NMD) candidate
CCDS431.1	MYCBP	26292	Public	CDS uses downstream AUG
CCDS508.1	KLF17	128209	Public	CDS uses downstream AUG
CCDS538.1	MKNK1	8569	Reviewed, update pending	CDS uses downstream AUG
CCDS539.1	MOB3C	148932	Under review, update	CDS uses downstream AUG
CCDS573.1	PODN	127435	Reviewed, update pending	CDS uses downstream AUG
CCDS801.1	GPR61	83873	Public	Nonsense-mediated decay (NMD) candidate
CCDS871.1	SYT6	148281	Public	Nonsense-mediated decay (NMD) candidate
CCDS891.1	CD101	9398	Public	CDS uses downstream AUG
CCDS903.1	HSD3B1	3283	Public	CDS uses downstream AUG
CCDS1015.1	LCE3C	353144	Public	Inferred exon combination
CCDS1041.2	S100A5	6276	Public	CDS uses downstream AUG
CCDS1053.2	SLC27A3	11000	Reviewed, update pending	CDS uses downstream AUG
CCDS1066.1	ATP8B2	57198	Reviewed, update pending	CDS uses downstream AUG
CCDS1080.1	LENEP	55891	Public	Nonsense-mediated decay (NMD) candidate
CCDS1096.1	KRTCAP2	200185	Under review, update	CDS uses downstream AUG
CCDS1109.1	PKLR	5313	Public	CDS uses downstream AUG
CCDS1126.1	SSR2	6746	Public	CDS uses downstream AUG
CCDS1146.1	GPATCH4	54865	Public	Polymorphic pseudogene
CCDS1180.3	IFI16	3428	Public	CDS uses downstream AUG
CCDS1184.1	FCER1A	2205	Public	CDS uses downstream AUG
CCDS1185.1	OR10J1	26476	Reviewed, update pending	CDS uses downstream AUG
CCDS1229.2	MPZ	4359	Public	CDS uses downstream AUG
CCDS1387.1	CFHR5	81494	Public	CDS uses downstream AUG
CCDS1412.1	PHLDA3	23612	Public	Nonsense-mediated decay (NMD) candidate
CCDS1436.1	CHIT1	1118	Public	CDS uses downstream AUG
CCDS1468.1	IL19	29949	Under review, update	CDS uses downstream AUG
CCDS1538.1	TP53BP2	7159	Public	CDS uses downstream AUG
CCDS1585.1	AGT	183	Under review, update	CDS uses downstream AUG
CCDS1633.1	NLRP3	114548	Under review, update	CDS uses downstream AUG
CCDS1785.3	GPATCH11	253635	Under review, update	CDS uses downstream AUG
CCDS1850.1	ACYP2	98	Public	CDS uses downstream AUG
CCDS1857.1	EFEMP1	2202	Public	CDS uses downstream AUG
CCDS1891.2	GKN1	56287	Reviewed, update pending	CDS uses downstream AUG
CCDS1983.2	SFTPB	6439	Reviewed, update pending	CDS uses downstream AUG
CCDS1992.1	CD8A	925	Public	CDS uses downstream AUG
CCDS2038.1	C2orf15	150590	Under review, update	CDS uses downstream AUG
CCDS2039.1	LIPT1	51601	Public	CDS uses downstream AUG
CCDS2040.1	MITD1	129531	Public	CDS uses downstream AUG
CCDS2042.1	LYG2	254773	Public	CDS uses downstream AUG
CCDS2070.1	FHL2	2274	Public	CDS uses downstream AUG
CCDS2182.1	LRP1B	53353	Public	CDS uses downstream AUG
CCDS2209.2	BAZ2B	29994	Public	Inferred exon combination
CCDS2293.1	CALCRL	10203	Public	CDS uses downstream AUG
CCDS2387.2	UNC80	285175	Public	Inferred exon combination
CCDS2395.1	IKZF2	22807	Public	CDS uses downstream AUG
CCDS2424.1	PRKAG3	53632	Public	Nonsense-mediated decay (NMD) candidate
CCDS2430.2	CFAP65	255101	Public	Inferred exon combination
CCDS2447.1	EPHA4	2043	Public	Nonsense-mediated decay (NMD) candidate
CCDS2481.1	SPATA3	130560	Public	Nonsense-mediated decay (NMD) candidate
CCDS2490.1	ALPP	250	Public	CDS uses downstream AUG
CCDS2524.2	SCLY	51540	Reviewed, update pending	CDS uses downstream AUG
CCDS2533.1	OTOS	150677	Public	CDS uses downstream AUG
CCDS2568.1	SSUH2	51066	Under review, update	CDS uses downstream AUG
CCDS2610.2	PPARG	5468	Under review, update	CDS uses downstream AUG
CCDS2628.1	BTD	686	Reviewed, update pending	CDS uses downstream AUG
CCDS2674.2	MYD88	4615	Reviewed, update pending	CDS uses downstream AUG
CCDS2739.1	CCR5	1234	Public	Polymorphic pseudogene
CCDS2762.2	CAMP	820	Reviewed, update pending	CDS uses downstream AUG
CCDS2788.1	QARS1	5859	Public	CDS uses downstream AUG
CCDS2800.1	BSN	8927	Public	Nonsense-mediated decay (NMD) candidate
CCDS2804.1	INKA1	389119	Reviewed, update pending	CDS uses downstream AUG
CCDS2833.1	TEX264	51368	Public	CDS uses downstream AUG
CCDS3198.1	BCHE	590	Public	CDS uses downstream AUG
CCDS3265.1	THPO	7066	Public	CDS uses downstream AUG
CCDS3320.2	PIGX	54965	Public	Non-AUG initiation codon
CCDS3332.1	LMLN	89782	Under review, update	CDS uses downstream AUG
CCDS3436.1	RBPJ	3516	Under review, update	CDS uses downstream AUG
CCDS3440.2	STIM2	57620	Public	CDS uses downstream AUG
CCDS3440.2	STIM2	57620	Public	Non-AUG initiation codon
CCDS3449.1	KLHL5	51088	Under review, update	CDS uses downstream AUG
CCDS3532.1	CSN2	1447	Public	Inferred exon combination
CCDS3536.2	ODAM	54959	Public	CDS uses downstream AUG
CCDS3539.1	CABS1	85438	Public	Nonsense-mediated decay (NMD) candidate
CCDS3738.1	LARP1B	55132	Public	Inferred exon combination
CCDS3907.2	DNAJC21	134218	Public	CDS uses downstream AUG
CCDS3936.1	C6	729	Public	CDS uses downstream AUG
CCDS3944.1	CCL28	56477	Public	Nonsense-mediated decay (NMD) candidate
CCDS4000.1	CCDC125	202243	Public	Inferred exon combination
CCDS4188.1	CXCL14	9547	Reviewed, update pending	CDS uses downstream AUG
CCDS4305.1	SLC6A7	6534	Public	CDS uses downstream AUG
CCDS4397.1	THOC3	84321	Public	CDS uses downstream AUG
CCDS4442.1	GRM6	2916	Public	Inferred exon combination
CCDS4519.1	ERVFRD-1	405754	Public	Endogenous retrovirus
CCDS4824.1	CDKN1A	1026	Public	CDS uses downstream AUG
CCDS4855.1	NCR2	9436	Public	CDS uses downstream AUG
CCDS4865.1	GUCA1B	2979	Public	CDS uses downstream AUG
CCDS4907.2	VEGFA	7422	Public	Non-AUG initiation codon
CCDS4911.1	SPATS1	221409	Public	Inferred exon combination
CCDS4941.1	PAQR8	85315	Public	CDS uses downstream AUG
CCDS4946.1	GSTA5	221357	Public	Inferred exon combination
CCDS5020.3	GABRR2	2570	Public	CDS uses downstream AUG
CCDS5060.2	SCML4	256380	Public	Inferred exon combination
CCDS5071.1	CEP57L1	285753	Public	CDS uses downstream AUG
CCDS5082.1	DDO	8528	Reviewed, update pending	CDS uses downstream AUG
CCDS5083.1	DDO	8528	Reviewed, update pending	CDS uses downstream AUG
CCDS5097.1	CCN6	8838	Reviewed, update pending	CDS uses downstream AUG
CCDS5142.2	AKAP7	9465	Public	CDS uses downstream AUG
CCDS5260.1	RSPH3	83861	Under review, update	CDS uses downstream AUG
CCDS5308.2	PHF10	55274	Public	CDS uses downstream AUG
CCDS5309.2	PHF10	55274	Public	CDS uses downstream AUG
CCDS5355.1	C1GALT1	56913	Public	CDS uses downstream AUG
CCDS5451.1	GPR141	353345	Public	CDS uses downstream AUG
CCDS5453.1	SFRP4	6424	Public	CDS uses downstream AUG
CCDS5529.1	VKORC1L1	154807	Public	CDS uses downstream AUG
CCDS5558.1	ABHD11	83451	Under review, update	CDS uses downstream AUG
CCDS5579.1	POR	5447	Under review, update	CDS uses downstream AUG
CCDS5626.1	ERVW-1	30816	Public	Endogenous retrovirus
CCDS5640.1	PON2	5445	Public	CDS uses downstream AUG
CCDS5722.1	ORAI2	80228	Public	CDS uses downstream AUG
CCDS5732.1	SLC26A5	375611	Public	Inferred exon combination
CCDS5806.1	OPN1SW	611	Under review, update	CDS uses downstream AUG
CCDS5839.1	STRA8	346673	Under review, update	CDS uses downstream AUG
CCDS5841.1	FAM180A	389558	Public	Nonsense-mediated decay (NMD) candidate
CCDS5855.1	TBXAS1	6916	Reviewed, update pending	CDS uses downstream AUG
CCDS5856.1	TBXAS1	6916	Reviewed, update pending	CDS uses downstream AUG
CCDS5874.2	TRPV6	55503	Public	Non-AUG initiation codon
CCDS5876.2	LLCFC1	135927	Under review, update	CDS uses downstream AUG
CCDS5925.2	WDR86	349136	Public	Inferred exon combination
CCDS5942.1	SHH	6469	Public	CDS uses downstream AUG
CCDS6037.1	TNFRSF10C	8794	Public	CDS uses downstream AUG
CCDS6077.1	RBPMS	11030	Public	Nonsense-mediated decay (NMD) candidate
CCDS6114.2	IDO2	169355	Under review, update	CDS uses downstream AUG
CCDS6220.2	HNF4G	3174	Reviewed, update pending	CDS uses downstream AUG
CCDS6359.2	MYC	4609	Public	Non-AUG initiation codon
CCDS6380.1	AGO2	27161	Public	Inferred exon combination
CCDS6385.2	LY6K	54742	Public	CDS uses downstream AUG
CCDS6397.2	ZFP41	286128	Reviewed, update pending	CDS uses downstream AUG
CCDS6397.2	ZFP41	286128	Reviewed, update pending	Nonsense-mediated decay (NMD) candidate
CCDS6511.2	CDKN2A	1029	Public	Nonsense-mediated decay (NMD) candidate
CCDS6532.1	APTX	54840	Reviewed, update pending	CDS uses downstream AUG
CCDS6596.2	OR2S2	56656	Public	Polymorphic pseudogene
CCDS6673.1	NAA35	60560	Public	CDS uses downstream AUG
CCDS6694.1	IARS1	3376	Public	CDS uses downstream AUG
CCDS6759.1	PPP3R2	5535	Reviewed, update pending	CDS uses downstream AUG
CCDS6794.2	ALAD	210	Public	CDS uses downstream AUG
CCDS6920.1	PTPA	5524	Public	CDS uses downstream AUG
CCDS6933.1	ASS1	445	Public	CDS uses downstream AUG
CCDS6936.1	QRFP	347148	Public	CDS uses downstream AUG
CCDS6976.1	ADAMTSL2	9719	Public	CDS uses downstream AUG
CCDS7040.2	NELFB	25920	Public	Non-AUG initiation codon
CCDS7167.2	LYZL2	119180	Reviewed, update pending	CDS uses downstream AUG
CCDS7193.1	ANKRD30A	91074	Reviewed, update pending	Nonsense-mediated decay (NMD) candidate
CCDS7233.1	CHAT	1103	Public	CDS uses downstream AUG
CCDS7466.1	ANKRD2	26287	Public	CDS uses downstream AUG
CCDS7508.2	SFXN3	81855	Under review, update	CDS uses downstream AUG
CCDS7620.2	FGFR2	2263	Public	CDS uses downstream AUG
CCDS7733.1	TSPAN32	10077	Public	CDS uses downstream AUG
CCDS7810.2	TEAD1	7003	Public	Non-AUG initiation codon
CCDS7878.2	WT1	7490	Reviewed, update pending	Non-AUG initiation codon
CCDS7886.1	CD59	966	Public	CDS uses downstream AUG
CCDS7912.1	PRDM11	56981	Under review, update	CDS uses downstream AUG
CCDS7945.1	PTPRJ	5795	Public	CDS uses downstream AUG
CCDS8034.1	ZBTB3	79842	Reviewed, update pending	CDS uses downstream AUG
CCDS8045.1	LGALS12	85329	Reviewed, update pending	CDS uses downstream AUG
CCDS8061.1	NUDT22	84304	Public	CDS uses downstream AUG
CCDS8212.1	FOLR2	2350	Public	CDS uses downstream AUG
CCDS8279.1	FZD4	8322	Public	CDS uses downstream AUG
CCDS8328.2	CASP5	838	Public	Inferred exon combination
CCDS8365.2	HTR3A	3359	Reviewed, update pending	CDS uses downstream AUG
CCDS8366.2	HTR3A	3359	Reviewed, update pending	CDS uses downstream AUG
CCDS8421.1	MFRP	83552	Public	Nonsense-mediated decay (NMD) candidate
CCDS8434.1	TECTA	7007	Public	Inferred exon combination
CCDS8446.1	OR8B8	26493	Public	CDS uses downstream AUG
CCDS8579.1	APOBEC1	339	Public	CDS uses downstream AUG
CCDS8637.1	TAS2R14	50840	Public	CDS uses downstream AUG
CCDS8646.1	BCL2L14	79370	Public	Nonsense-mediated decay (NMD) candidate
CCDS8743.1	PUS7L	83448	Public	CDS uses downstream AUG
CCDS8800.1	COX14	84987	Public	CDS uses downstream AUG
CCDS8844.1	TNS2	23371	Public	CDS uses downstream AUG
CCDS8897.1	PMEL	6490	Public	CDS uses downstream AUG
CCDS8965.1	AVPR1A	552	Public	CDS uses downstream AUG
CCDS8976.1	HELB	92797	Public	Nonsense-mediated decay (NMD) candidate
CCDS9181.1	HRK	8739	Public	Nonsense-mediated decay (NMD) candidate
CCDS9228.1	DIABLO	56616	Public	CDS uses downstream AUG
CCDS9229.1	DIABLO	56616	Public	CDS uses downstream AUG
CCDS9431.1	CCDC70	83446	Under review, update	CDS uses downstream AUG
CCDS9437.1	CNMD	11061	Public	CDS uses downstream AUG
CCDS9494.2	ZIC5	85416	Under review, update	CDS uses downstream AUG
CCDS9528.1	F7	2155	Public	CDS uses downstream AUG
CCDS9529.1	F7	2155	Public	CDS uses downstream AUG
CCDS9585.1	CDH24	64403	Public	Nonsense-mediated decay (NMD) candidate
CCDS9586.1	CDH24	64403	Public	Nonsense-mediated decay (NMD) candidate
CCDS9593.1	SLC22A17	51310	Under review, update	Non-AUG initiation codon
CCDS9594.2	SLC22A17	51310	Under review, update	Non-AUG initiation codon
CCDS9611.1	FITM1	161247	Public	CDS uses downstream AUG
CCDS9699.1	CDKL1	8814	Under review, update	CDS uses downstream AUG
CCDS9724.1	TBPL2	387332	Under review, update	CDS uses downstream AUG
CCDS9778.1	GARIN2	161142	Public	Nonsense-mediated decay (NMD) candidate
CCDS9862.1	VIPAS39	63894	Public	CDS uses downstream AUG
CCDS9894.2	GPR68	8111	Public	CDS uses downstream AUG
CCDS9923.1	SERPINA10	51156	Public	CDS uses downstream AUG
CCDS9983.2	COA8	84334	Reviewed, update pending	CDS uses downstream AUG
CCDS10016.1	SNURF	8926	Public	Nonsense-mediated decay (NMD) candidate
CCDS10057.2	IVD	3712	Reviewed, update pending	CDS uses downstream AUG
CCDS10104.1	HYPK	25764	Reviewed, update pending	CDS uses downstream AUG
CCDS10240.1	SENP8	123228	Public	CDS uses downstream AUG
CCDS10245.2	GOLGA6B	55889	Public	Inferred exon combination
CCDS10305.1	CHRNA3	1136	Public	CDS uses downstream AUG
CCDS10352.2	TICRR	90381	Public	Inferred exon combination
CCDS10396.1	SNRNP25	79622	Reviewed, update pending	CDS uses downstream AUG
CCDS10405.1	AXIN1	8312	Public	CDS uses downstream AUG
CCDS10406.1	AXIN1	8312	Public	CDS uses downstream AUG
CCDS10448.1	FAHD1	81889	Under review, update	CDS uses downstream AUG
CCDS10479.2	ZG16B	124220	Under review, update	CDS uses downstream AUG
CCDS10506.2	SLX4	84464	Public	Inferred exon combination
CCDS10519.1	NUDT16L1	84309	Public	CDS uses downstream AUG
CCDS10545.1	DEXI	28955	Public	Nonsense-mediated decay (NMD) candidate
CCDS10596.1	ZP2	7783	Public	CDS uses downstream AUG
CCDS10624.2	TNRC6A	27327	Public	Inferred exon combination
CCDS10637.1	SULT1A1	6817	Under review, update	CDS uses downstream AUG
CCDS10646.1	SPNS1	83985	Public	CDS uses downstream AUG
CCDS10678.3	SEPTIN1	1731	Under review, update	CDS uses downstream AUG
CCDS10730.1	ABCC12	94160	Public	Inferred exon combination
CCDS10780.1	CCL17	6361	Public	CDS uses downstream AUG
CCDS10825.1	CES2	8824	Reviewed, update pending	CDS uses downstream AUG
CCDS10833.2	ELMO3	79767	Reviewed, update pending	CDS uses downstream AUG
CCDS10856.1	DPEP3	64180	Reviewed, update pending	CDS uses downstream AUG
CCDS10927.2	CLEC3A	10143	Reviewed, update pending	CDS uses downstream AUG
